"","sentence","polarity","source","stanford_sentiment_value","stanford_sentiment"
"2949","This place is horrible and way overpriced.","0","dataset/yelp_labelled.txt","0","Verynegative"
"276","Reversible plug works great.","1","dataset/amazon_cells_labelled.txt","3","Positive"
"571","My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!","0","dataset/amazon_cells_labelled.txt","E_vety","E_vety"
"2370","He deserves 5 stars.","1","dataset/yelp_labelled.txt","3","Positive"
"1418","Even worse than Ticker!  ","0","dataset/imdb_labelled.txt","1","Negative"
"2042","There is not a deal good enough that would drag me into that establishment again.","0","dataset/yelp_labelled.txt","1","Negative"
"1099","Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.  ","1","dataset/imdb_labelled.txt","3","Positive"
"1838",") Don't waste your time.  ","0","dataset/imdb_labelled.txt","1","Negative"
"2653","It is PERFECT for a sit-down family meal or get together with a few friends.","1","dataset/yelp_labelled.txt","2","Neutral"
"51","Not loud enough and doesn't turn on like it should.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"837","Horrible, horrible protector.","0","dataset/amazon_cells_labelled.txt","0","Verynegative"
"2325","Favorite place in town for shawarrrrrrma!!!!!!","1","dataset/yelp_labelled.txt","1","Negative"
"2751","I got to enjoy the seafood salad, with a fabulous vinegrette.","1","dataset/yelp_labelled.txt","3","Positive"
"295","The voice recognition thru the handset is excellent.","1","dataset/amazon_cells_labelled.txt","4","Verypositive"
"946","It is easy to turn on and off when you are in the car and the volume controls are quite accessable.","1","dataset/amazon_cells_labelled.txt","1","Negative"
"1271","It is an excellent drama, an excellent thriller, and an excellent film.  ","1","dataset/imdb_labelled.txt","4","Verypositive"
"2444","Nothing special.","0","dataset/yelp_labelled.txt","3","Positive"
"1720","A Lassie movie which should have been ""put to sleep"".... FOREVER.  ","0","dataset/imdb_labelled.txt","E_vety","E_vety"
"59","I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.","1","dataset/amazon_cells_labelled.txt","3","Positive"
"294","DO NOT PURCHASE THIS PHONE.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"2388","This place deserves one star and 90% has to do with the food.","0","dataset/yelp_labelled.txt","3","Positive"
"2895","If you stay in Vegas you must get breakfast here at least once.","1","dataset/yelp_labelled.txt","1","Negative"
"1653","Don't be afraid of subtitles........ its worth a little aversion therapy 10/10  ","1","dataset/imdb_labelled.txt","E_vety","E_vety"
"2775","The flair bartenders are absolutely amazing!","1","dataset/yelp_labelled.txt","4","Verypositive"
"2947","It was a bit too sweet, not really spicy enough, and lacked flavor.","0","dataset/yelp_labelled.txt","0","Verynegative"
"2530","The bartender was also nice.","1","dataset/yelp_labelled.txt","3","Positive"
"2255","Now the pizza itself was good the peanut sauce was very tasty.","1","dataset/yelp_labelled.txt","3","Positive"
"1991","The opening sequence of this gem is a classic, and the cat n mouse games that follow are a delight to watch.  ","1","dataset/imdb_labelled.txt","4","Verypositive"
"1169","Still, I do like this movie for it's empowerment of women; there's not enough movies out there like this one.  ","1","dataset/imdb_labelled.txt","1","Negative"
"1339","Glad I didn't pay to see it.  ","0","dataset/imdb_labelled.txt","1","Negative"
"39","The case is great and works fine with the 680.","1","dataset/amazon_cells_labelled.txt","4","Verypositive"
"583","Voice Quality, Signal Strength, Dropped Calls.","0","dataset/amazon_cells_labelled.txt","1","Negative"
"86","The headsets are easy to use and everyone loves them.","1","dataset/amazon_cells_labelled.txt","3","Positive"
"1437","The soundtrack wasn't terrible, either.  ","1","dataset/imdb_labelled.txt","1","Negative"
"1328","Which has more depth and character than the man underneath it.  ","0","dataset/imdb_labelled.txt","2","Neutral"
"2490","How awesome is that.","1","dataset/yelp_labelled.txt","2","Neutral"
"1197","You'll love it!  ","1","dataset/imdb_labelled.txt","3","Positive"
"763","Just what I wanted.","1","dataset/amazon_cells_labelled.txt","3","Positive"
"2782","Join the club and get awesome offers via email.","1","dataset/yelp_labelled.txt","1","Negative"
"1599","Every element of this story was so over the top, excessively phony and contrived that it was painful to sit through.  ","0","dataset/imdb_labelled.txt","1","Negative"
"1684","A good film by a great director!  ","1","dataset/imdb_labelled.txt","4","Verypositive"
